id,type,name,description,layer,subjectarea,tags,path,partitions,table,creator,connectionid
ab-multi-transformed-csv-hadoop2,CsvFileDataObject,"","","","","",ab-multi-transformed-csv-hadoop2/nyc_multi_transformed_2.csv,"","","",""
custom-rating-csv-agg,CsvFileDataObject,"","",tgt,"","",custom-rating-csv-agg.csv,"","","",""
ab-excel,ExcelFileDataObject,"","",tgt,"","",ab-excel/AB_NYC_2019.xlsx,"","","",""
custom-rating-csv2,CsvFileDataObject,"","","","","",custom-rating-csv2.csv,"","","",""
ab-csv-org,CsvFileDataObject,"","",src,"","",AB_NYC_2019.csv,"","","",""
export-data-objects,CsvFileDataObject,"","",tgt,"","",metadata-data-objects.csv,"","","",""
applications-conf-actions,ActionsExporterDataObject,"","","","","","","","","",""
check-primary-keys,PKViolatorsDataObject,"","","","","","","","","",""
ab-multi-transformed-csv-hadoop1,CsvFileDataObject,"","","","","",ab-multi-transformed-csv-hadoop1/nyc_multi_transformed_1.csv,"","","",""
ab-reduced-csv-hadoop,CsvFileDataObject,"","",tgt,"","",ab-reduced-csv-hadoop/nyc_reduced.csv,"","","",""
export-actions,CsvFileDataObject,"","",tgt,"","",metadata-actions.csv,"","","",""
export-primary-key-violations,CsvFileDataObject,"","",tgt,"","",pk-violations.csv,"","","",""
custom-rating-csv1,CsvFileDataObject,"","","","","",custom-rating-csv1.csv,"","","",""
ab-reduced-hsqldb,JdbcTableDataObject,"","","","","","","",public.nyc_reduced,"",localHsqlJdbc
ab-hive,HiveTableDataObject,"","",tgt,"","",ab-hive/data/hive,"",default.ab_hive(id),"",""
custom-my-df,CustomDfDataObject,"","",src,"","","","","",className: com.sample.CreateMyDf,""
ab-csv-hadoop,CsvFileDataObject,"","","","","",ab-csv-hadoop/data,"","","",""
ab-transformed-csv-hadoop,CsvFileDataObject,"","","","","",ab-transformed-csv-hadoop/nyc_transformed.csv,"","","",""
applications-conf-do,DataObjectsExporterDataObject,"","","","","","","","","",""
custom-csv-entire-room,CsvFileDataObject,"","","","","",custom-csv-entire-room/data,"","","",""
ab-parquet-hadoop,ParquetFileDataObject,"","","","","",ab-parquet-hadoop/data/parquet,"","","",""
custom-rating-df,CustomDfDataObject,"","",src,"","","","","",className: com.sample.CreateRatingDf,""
