id,type,name,description,feed,tags,inputid,outputid,transformer,columnblacklist,columnwhitelist,breakdataframelineage,persist
stg_formation_rcs,CustomSparkAction,"","",bew_stg_formation_rcs,"","rcs_formation,ana1_formation_footprint,ana1_grundtyp,ana1_fahrtyp_mapping,ana1_grundtyp_mapping,uno_betriebspunkt,uno_mitte_ag,rcs_zuglauf",stg_formation_rcs,className: ch.sbb.bigdata.anabel.stg.formation.RCSTransformer,"","",false,false
reporting_streckenbelastung,CustomSparkAction,"","",bew_reporting_streckenbelastung,"","atl_formation,atl_zuglauf_strecke,atl_zuglauf,uno_betriebspunkt,stg_stammdaten_zugkategorie",reporting_streckenbelastung,className: ch.sbb.bigdata.anabel.reporting.ReportingStreckenbelastungTransformer,"","",true,false
atl_fahrweg_gleiskante,CustomSparkAction,"","",bew_atl_fahrweg_gleiskante,"",stg_fahrweg_gleiskante,atl_fahrweg_gleiskante,className: ch.sbb.bigdata.anabel.atl.ATLFahrwegGleiskanteTransformer,"","",true,false
atl_zuglauf_strecke,CustomSparkAction,"","",bew_atl_zuglauf_strecke,"","stg_betriebspunkt,stg_zuglauf_strecke_agg",atl_zuglauf_strecke,className: ch.sbb.bigdata.anabel.atl.ATLZuglaufStreckeTransformer,"","",true,false
stg_formation,CustomSparkAction,"","",bew_stg_formation,"","stg_formation_ihpt,stg_formation_rcs",stg_formation,className: ch.sbb.bigdata.anabel.stg.formation.JoinedTransformer,"","",true,false
reporting_gleisbelastung,CustomSparkAction,"","",bew_reporting_gleisbelastung,"","atl_fahrweg_gtgstrang,atl_formation,atl_zuglauf,stg_stammdaten_zugkategorie",reporting_gleisbelastung,className: ch.sbb.bigdata.anabel.reporting.ReportingGleisbelastungTransformer,"","",true,false
reporting_gefahrengut_strecke,CustomSparkAction,"","",bew_reporting_gefahrengut_strecke,"","atl_formation,atl_zuglauf_strecke,atl_zuglauf,uno_betriebspunkt,stg_stammdaten_zugkategorie,stg_stammdaten_gefahrgut_bezeichnungen,stg_stammdaten_gefahrgut_gefahrgutklassen,stg_stammdaten_gefahrgut_leitstoff",reporting_gefahrengut_strecke,className: ch.sbb.bigdata.anabel.reporting.ReportingGefahrengutStreckeTransformer,"","",true,false
stg_zuglauf_strecke,CustomSparkAction,"","",bew_stg_zuglauf_strecke,"","stg_streckenkombination,stg_strecken_dfa,stg_zuglauf_ignorandum","stg_zuglauf_strecke,stg_zuglauf_strecke_agg",className: ch.sbb.bigdata.anabel.stg.zuglauf.ZuglaufStreckenkombinationTransformer,"","",true,false
stg_fahrweg_gtgstrang,CustomSparkAction,"","",bew_stg_fahrweg_gtgstrang,"","stg_fahrweg_gleiskante,stg_gleiskante_clean,stg_gleiskante_gtgstrang_mapping,stg_gtg2strecke,stg_positionspunkt_dinar_dgp_plus",stg_fahrweg_gtgstrang,className: ch.sbb.bigdata.anabel.stg.zuglauf.FahrwegGtgTransformer,"","",true,false
atl_zuglauf,CustomSparkAction,"","",bew_atl_zuglauf,"",stg_zuglauf,atl_zuglauf,className: ch.sbb.bigdata.anabel.atl.ATLZuglaufTransformer,"","",true,false
atl_fahrweg_gtgstrang,CustomSparkAction,"","",bew_atl_fahrweg_gtgstrang,"",stg_fahrweg_gtgstrang,atl_fahrweg_gtgstrang,className: ch.sbb.bigdata.anabel.atl.ATLFahrwegGtgstrangTransformer,"","",true,false
stg_formation_ihpt,CustomSparkAction,"","",bew_stg_formation_ihpt,"",ihpt_tf,stg_formation_ihpt,className: ch.sbb.bigdata.anabel.stg.formation.IHPTTransformer,"","",false,false
stg_zuglauf,CustomSparkAction,"","",bew_stg_zuglauf,"","rcs_zuglauf,uno_mitte_ag,uno_signal",stg_zuglauf,className: ch.sbb.bigdata.anabel.stg.zuglauf.ZuglaufTransformer,"","",false,false
stg_fahrweg_gleiskante,CustomSparkAction,"","",bew_stg_fahrweg_gleiskante,"","rcs_fahrweg,stg_zuglauf",stg_fahrweg_gleiskante,className: ch.sbb.bigdata.anabel.stg.zuglauf.FahrwegGkTransformer,"","",true,false
atl_formation,CustomSparkAction,"","",bew_atl_formation,"","stg_zuglauf,stg_formation",atl_formation,className: ch.sbb.bigdata.anabel.atl.ATLFormationTransformer,"","",true,false
stg_zuglauf_ignorandum,CustomSparkAction,"","",bew_stg_zuglauf_ignorandum,"","rcs_zuglauf,stg_mag_ignorandum",stg_zuglauf_ignorandum,className: ch.sbb.bigdata.anabel.stg.zuglauf.ZuglaufIgnorandumTransformer,"","",false,false
