id,type,name,description,feed,tags,inputid,outputid,transformer,columnblacklist,columnwhitelist,breakdataframelineage,persist
stg_gleiskante_gtgstrang_mapping,CustomSparkAction,"","",stamm_stg_gleiskante_gtgstrang_mapping,"","stg_positionspunkt_dinar_dgp_plus,stg_gleiskante_plus,stg_positionspunkt_gleiskante,stg_positionspunkt_gtgstrang",stg_gleiskante_gtgstrang_mapping,className: ch.sbb.bigdata.anabel.stg.positionspunkt.GleiskanteGTGStrangMappingTransformer,"","",true,false
stg_betriebspunkt,CustomSparkAction,"","",stamm_stg_betriebspunkt,"","dfagis_betriebspunkt,uno_betriebspunkt",stg_betriebspunkt,className: ch.sbb.bigdata.anabel.stg.positionspunkt.BetriebspunktTransformer,"","",true,false
stg_positionspunkt_gleiskante,CustomSparkAction,"","",stamm_stg_positionspunkt_gleiskante,"",stg_gleiskante_plus,"stg_positionspunkt,stg_positionspunkt_gleiskante",className: ch.sbb.bigdata.anabel.stg.positionspunkt.PositionspunktGleiskanteTransformer,"","",true,false
stg_formation_rcs,CustomSparkAction,"","",bew_stg_formation_rcs,"","rcs_formation,ana1_formation_footprint,ana1_grundtyp,ana1_fahrtyp_mapping,ana1_grundtyp_mapping,uno_betriebspunkt,uno_mitte_ag,rcs_zuglauf",stg_formation_rcs,className: ch.sbb.bigdata.anabel.stg.formation.RCSTransformer,"","",false,false
quality_monitoring,CustomSparkAction,"","",quality_monitoring,"","atl_zuglauf_strecke,atl_fahrweg_gtgstrang",quality_monitoring,className: ch.sbb.bigdata.anabel.monitoring.MonitoringTransformer,"","",false,false
file_fzg_stammdaten_config,FileTransferAction,"","",fzg_stammdaten_file,"",git_fzg_stammdaten_config,file_fzg_stammdaten_config,"","","","",""
file_stamm_zugkategorie,FileTransferAction,"","",zugkategorie_file,"",git_stammdaten_zugkategorie,file_stammdaten_zugkategorie,"","","","",""
export-data-objects,CopyAction,"","",export-metadata,"",applications-conf-do,export-data-objects,"","","",false,false
reporting_streckenbelastung,CustomSparkAction,"","",bew_reporting_streckenbelastung,"","atl_formation,atl_zuglauf_strecke,atl_zuglauf,uno_betriebspunkt,stg_stammdaten_zugkategorie",reporting_streckenbelastung,className: ch.sbb.bigdata.anabel.reporting.ReportingStreckenbelastungTransformer,"","",true,false
rep_laerm_zuganzahl,CustomSparkAction,"","",rep_laerm_zuganzahl,"","atl_zuglauf,atl_zuglauf_strecke",rep_laerm_zuganzahl,className: ch.sbb.bigdata.anabel.reporting.laerm.LaermreportingZuganzahlTransformer,"","",true,false
rep_laerm_gleisbelastung,CustomSparkAction,"","",rep_laerm_gleisbelastung,"","atl_fahrweg_gtgstrang,atl_formation,atl_zuglauf",rep_laerm_gleisbelastung,className: ch.sbb.bigdata.anabel.reporting.laerm.LaermreportingGleisbelastungTransformer,"","",true,false
