id,type,name,description,layer,subjectarea,tags,path,partitions,table,creator,connectionid
uno_betriebspunkt,HiveTableDataObject,"","","","","","","",app_datalake.btl_uno_h_betriebspunkt,"",""
stg_gleiskante_gtgstrang_mapping,HiveTableDataObject,"","","","","",/stg_gleiskante_gtgstrang_mapping/data/,"","lab_anabel.stg_gleiskante_gtgstrang_mapping(neid_gtgstrang,id_gleiskante,gueltig_ab)","",anabelStageLayerConnection
stg_stammdaten_zugkategorie,HiveTableDataObject,"","","","","",/stammdaten/zugkategorien/data/,"",lab_anabel.git_stammdaten_zugkategorie,"",anabelStageLayerConnection
stg_betriebspunkt,HiveTableDataObject,"","","","","",/stg_betriebspunkt/data/,"",lab_anabel.stg_betriebspunkt,"",anabelStageLayerConnection
ihpt_ft,TickTockHiveTableDataObject,"","","","","","",dt,app_datalake.int_ihpt_fos_fahrtyp,"",""
stg_formation_rcs,HiveTableDataObject,"","","","","",/stg_formation_rcs/data/,dt,lab_anabel.stg_formation_rcs,"",anabelStageLayerConnection
stg_positionspunkt_gleiskante,TickTockHiveTableDataObject,"","","","","",/stg_positionspunkt_gleiskante/data/,zoom,lab_anabel.stg_positionspunkt_gleiskante,"",anabelStageLayerConnection
quality_monitoring,HiveTableDataObject,"","","","","",/quality_monitoring/data/,"",app_anabel.quality_monitoring(dt),"",anabelAtlLayerConnection
file_stammdaten_zugkategorie,CsvFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/zugkategorie/ZugkategorienANA2.csv,"","","",""
stg_gleiskante_plus,TickTockHiveTableDataObject,"","","","","",/uno_h_gleiskante_plus/data/,"",lab_anabel.uno_h_gleiskante_plus,"",anabelStageLayerConnection
file_fzg_stammdaten_config,JsonFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stage/anabel/stammdaten_git/data/20200709/fzgstammdaten.config.json,"","","",""
stg_gtg2strecke_pre,HiveTableDataObject,"","","","","",/stg_gtg2strecke_pre/data/,"","lab_anabel.stg_gtg2strecke_pre(neid_gtgstrang,strecke_gtgposition_von,gueltig_ab)","",anabelStageLayerConnection
git_fzg_stammdaten_config,WebserviceFileDataObject,"","","","","","","","","",""
export-data-objects,CsvFileDataObject,"","","","","",metadata-data-objects.csv,"","","",""
dfagis_linie,HiveTableDataObject,"","","","","","","",app_datalake.btl_dfagis_os_linie_hist,"",""
reporting_streckenbelastung,JdbcTableDataObject,"","","","","","","",GSU_ANABEL.streckenbelastung,"",jdbcReportingConnection
applications-conf-actions,ActionsExporterDataObject,"","","","","","","","","",""
stg_zuglauf_strecke_agg,HiveTableDataObject,"","","","","",/stg_zuglauf_strecke_agg/data/,dt,"lab_anabel.stg_zuglauf_strecke_agg(dt,id_zug,reihenfolge)","",anabelStageLayerConnection
rep_laerm_zuganzahl,HiveTableDataObject,"","","","","",/rep/rep_laerm_zuganzahl/data,"",lab_anabel.rep_laerm_zuganzahl,"",anabelStageLayerConnection
git_stammdaten_gefahrgut_bezeichnungen,WebserviceFileDataObject,"","","","","","","","","",""
